  Muni Age    Pop
130180   1   1482
130180   5   1704
130180  10   1455
130180  15   1046
130180  20   1084
130180  25    897
130180  30    779
130180  35    605
130180  40    553
130180  45    391
130180  50    232
130180  55    195
130180  60    197
130180  65    148
130180  70     89
130180  75     53
130180  80     64
130185   0    481
130185   1   1906
130185   5   2534
130185  10   2579
130185  15   2187
130185  20   1816
130185  25   1685
130185  30   1569
130185  35   1288
130185  40   1079
130185  45    876
130185  50    809
130185  55    606
130185  60    502
130185  65    427
130185  70    311
130185  75    175
130185  80    166
130190   0    968
130190   1   4027
130190   5   5337
130190  10   5427
130190  15   4746
130190  20   3843
130190  25   3587
130190  30   3301
130190  35   2769
130190  40   2251
130190  45   1877
130190  50   1638
130190  55   1366
130190  60   1015
130190  65    806
130190  70    598
130190  75    436
130190  80    434
130195   0    122
130195   1    477
130195   5    593
130195  10    558
130195  15    489
130195  20    445
130195  25    325
130195  30    328
130195  35    215
130195  40    182
130195  45    124
130195  50    115
130195  55     65
130195  60     75
130195  65     56
130195  70     24
130195  75     23
130195  80     20
130200   0     89
130200   1    371
130200   5    539
130200  10    541
130200  15    468
130200  20    385
130200  25    315
130200  30    303
130200  35    265
130200  40    199
130200  45    190
130200  50    168
130200  55    108
130200  60    120
130200  65     98
130200  70     63
130200  75     35
130200  80     42
130210   0     94
130210   1    426
130210   5    482
130210  10    551
130210  15    434
130210  20    396
130210  25    311
130210  30    274
130210  35    192
130210  40    206
130210  45    152
130210  50    108
130210  55     68
130210  60     33
130210  65     39
130210  70     24
130210  75     16
130210  80     29
130220   0    129
130220   1    600
130220   5    785
130220  10    760
130220  15    635
130220  20    569
130220  25    452
130220  30    360
130220  35    301
130220  40    223
130220  45    220
130220  50    139
130220  55    109
130220  60     69
130220  65     81
130220  70     44
130220  75     37
130220  80     35
130230   0    313
130230   1   1304
130230   5   1397
130230  10   1236
130230  15   1031
130230  20    805
130230  25    704
130230  30    578
130230  35    477
130230  40    374
130230  45    312
130230  50    210
