"","Muni","Age","Death"
"756","110029",80,"   7"
"757","110148",0,"   0"
"758","110148",1,"  0"
"759","110148",5," 1"
"760","110148",10,"  0"
"761","110148",15,"  1"
"762","110148",20,"  0"
"763","110148",25,"  0"
"764","110148",30,"  1"
"765","110148",35,"   1"
"766","110148",40,"   1"
"767","110148",45,"   0"
"768","110148",50,"   0"
"769","110148",55,"   0"
"770","110148",60,"   0"
"771","110148",65,"   0"
"772","110148",70,"   1"
"773","110148",75,"   1"
"774","110148",80,"   3"
"775","110149",0,"   0"
"776","110149",1,"  0"
"777","110149",5," 1"
"778","110149",10,"  0"
"779","110149",15,"  2"
"780","110149",20,"  0"
"781","110149",25,"  3"
"782","110149",30,"  1"
"783","110149",35,"   1"
"784","110149",40,"   1"
"785","110149",45,"   5"
"786","110149",50,"   3"
"787","110149",55,"   1"
"788","110149",60,"   0"
"789","110149",65,"   5"
"790","110149",70,"   4"
"791","110149",75,"   3"
"792","110149",80,"   6"
"793","110032",0,"   1"
"794","110032",1,"  2"
"795","110032",5," 0"
"796","110032",10,"  0"
"797","110032",15,"  1"
"798","110032",20,"  0"
"799","110032",25,"  0"
"800","110032",30,"  3"
"801","110032",35,"   2"
"802","110032",40,"   4"
"803","110032",45,"   3"
"804","110032",50,"   4"
"805","110032",55,"   0"
"806","110032",60,"   2"
"807","110032",65,"   4"
"808","110032",70,"   4"
"809","110032",75,"   3"
"810","110032",80,"   2"
"811","110150",0,"   5"
"812","110150",1,"  0"
"813","110150",5," 0"
"814","110150",10,"  0"
"815","110150",15,"  2"
"816","110150",20,"  1"
"817","110150",25,"  2"
"818","110150",30,"  0"
"819","110150",35,"   3"
"820","110150",40,"   0"
"821","110150",45,"   3"
"822","110150",50,"   1"
"823","110150",55,"   3"
"824","110150",60,"   2"
"825","110150",65,"   3"
"826","110150",70,"   5"
"827","110150",75,"   4"
"828","110150",80,"   3"
"829","110155",0,"   1"
"830","110155",1,"  0"
"831","110155",5," 0"
"832","110155",10,"  0"
"833","110155",15,"  0"
"834","110155",20,"  0"
"835","110155",25,"  0"
"836","110155",30,"  1"
"837","110155",35,"   1"
"838","110155",40,"   1"
"839","110155",45,"   0"
"840","110155",50,"   1"
"841","110155",55,"   0"
"842","110155",60,"   0"
"843","110155",65,"   0"
"844","110155",70,"   0"
"845","110155",75,"   1"
"846","110155",80,"   1"
"847","110160",0,"   1"
"848","110160",1,"  0"
"849","110160",5," 0"
"850","110160",10,"  1"
"851","110160",15,"  0"
"852","110160",20,"  0"
"853","110160",25,"  1"
"854","110160",30,"  1"
"855","110160",35,"   2"
"856","110160",40,"   1"
"857","110160",45,"   1"
"858","110160",50,"   0"
"859","110160",55,"   1"
"860","110160",60,"   1"
"861","110160",65,"   3"
"862","110160",70,"   0"
"863","110160",75,"   2"
"864","110160",80,"   3"
"865","110170",0,"   1"
"866","110170",1,"  0"
"867","110170",5," 0"
"868","110170",10,"  0"
"869","110170",15,"  1"
"870","110170",20,"  0"
"871","110170",25,"  1"
"872","110170",30,"  2"
"873","110170",35,"   0"
"874","110170",40,"   2"
"875","110170",45,"   0"
"876","110170",50,"   0"
"877","110170",55,"   1"
"878","110170",60,"   4"
"879","110170",65,"   2"
"880","110170",70,"   3"
"881","110170",75,"   2"
"882","110170",80,"   2"
"883","110175",0,"   1"
"884","110175",1,"  0"
"885","110175",5," 1"
"886","110175",10,"  1"
"887","110175",15,"  1"
"888","110175",20,"  1"
"889","110175",25,"  2"
"890","110175",30,"  3"
"891","110175",35,"   1"
"892","110175",40,"   1"
"893","110175",45,"   2"
"894","110175",50,"   2"
"895","110175",55,"   2"
"896","110175",60,"   2"
"897","110175",65,"   2"
"898","110175",70,"   1"
"899","110175",75,"   1"
"900","110175",80,"   1"
"901","110180",0,"   1"
"902","110180",1,"  0"
"903","110180",5," 0"
"904","110180",10,"  0"
"905","110180",15,"  1"
"906","110180",20,"  0"
"907","110180",25,"  0"
"908","110180",30,"  1"
"909","110180",35,"   0"
"910","110180",40,"   1"
"911","110180",45,"   2"
"912","110180",50,"   2"
"913","110180",55,"   0"
"914","110180",60,"   3"
"915","110180",65,"   1"
"916","110180",70,"   5"
"917","110180",75,"   2"
"918","110180",80,"   4"
"919","110030",0,"  15"
"920","110030",1,"  1"
"921","110030",5," 1"
"922","110030",10,"  0"
"923","110030",15,"  3"
"924","110030",20,"  7"
"925","110030",25,"  9"
"926","110030",30," 10"
"927","110030",35,"   6"
"928","110030",40,"  10"
"929","110030",45,"  11"
"930","110030",50,"  12"
"931","110030",55,"  13"
"932","110030",60,"  17"
"933","110030",65,"  17"
"934","110030",70,"  22"
"935","110030",75,"  26"
"936","110030",80,"  32"
"937","110000",0,"   0"
"938","110000",1,"  0"
"939","110000",5," 0"
"940","110000",10,"  0"
"941","110000",15,"  0"
"942","110000",20,"  1"
"943","110000",25,"  0"
"944","110000",30,"  1"
"945","110000",35,"   4"
"946","110000",40,"   1"
"947","110000",45,"   1"
"948","110000",50,"   2"
"949","110000",55,"   0"
"950","110000",60,"   1"
"951","110000",65,"   2"
"952","110000",70,"   0"
"953","110000",75,"   0"
"954","110000",80,"   2"
"955","120001",0,"   3"
"956","120001",1,"  0"
"957","120001",5," 0"
"958","120001",10,"  0"
"959","120001",15,"  1"
"960","120001",20,"  0"
"961","120001",25,"  0"
"962","120001",30,"  1"
"963","120001",35,"   2"
"964","120001",40,"   2"
"965","120001",45,"   0"
"966","120001",50,"   2"
"967","120001",55,"   4"
"968","120001",60,"   2"
"969","120001",65,"   1"
"970","120001",70,"   2"
"971","120001",75,"   3"
"972","120001",80,"   7"
"973","120005",0,"   1"
"974","120005",1,"  3"
"975","120005",5," 0"
"976","120005",10,"  0"
"977","120005",15,"  1"
"978","120005",20,"  1"
"979","120005",25,"  0"
"980","120005",30,"  0"
"981","120005",35,"   0"
"982","120005",40,"   0"
"983","120005",45,"   0"
"984","120005",50,"   0"
"985","120005",55,"   1"
"986","120005",60,"   0"
"987","120005",65,"   0"
"988","120005",70,"   2"
"989","120005",75,"   3"
"990","120005",80,"   3"
"991","120010",0,"   3"
"992","120010",1,"  0"
"993","120010",5," 0"
"994","120010",10,"  2"
"995","120010",15,"  4"
"996","120010",20,"  1"
"997","120010",25,"  1"
"998","120010",30,"  2"
"999","120010",35,"   0"
"1000","120010",40,"   3"
"1001","120010",45,"   0"
"1002","120010",50,"   1"
"1003","120010",55,"   0"
"1004","120010",60,"   2"
"1005","120010",65,"   5"
"1006","120010",70,"  11"
"1007","120010",75,"   7"
"1008","120010",80,"  16"
"1009","120013",0,"   2"
"1010","120013",1,"  1"
"1011","120013",5," 0"
"1012","120013",10,"  0"
"1013","120013",15,"  1"
"1014","120013",20,"  0"
"1015","120013",25,"  2"
"1016","120013",30,"  0"
"1017","120013",35,"   0"
"1018","120013",40,"   0"
"1019","120013",45,"   1"
"1020","120013",50,"   0"
"1021","120013",55,"   0"
"1022","120013",60,"   1"
"1023","120013",65,"   2"
"1024","120013",70,"   1"
"1025","120013",75,"   2"
"1026","120013",80,"   4"
"1027","120017",0,"   0"
"1028","120017",1,"  2"
"1029","120017",5," 1"
"1030","120017",10,"  0"
"1031","120017",15,"  0"
"1032","120017",20,"  1"
"1033","120017",25,"  0"
"1034","120017",30,"  0"
"1035","120017",35,"   0"
"1036","120017",40,"   2"
"1037","120017",45,"   1"
"1038","120017",50,"   0"
"1039","120017",55,"   0"
"1040","120017",60,"   2"
"1041","120017",65,"   3"
"1042","120017",70,"   1"
"1043","120017",75,"   0"
"1044","120017",80,"   3"
"1045","120020",0,"  14"
"1046","120020",1,"  6"
"1047","120020",5," 2"
"1048","120020",10,"  4"
"1049","120020",15," 12"
"1050","120020",20," 11"
"1051","120020",25,"  6"
"1052","120020",30,"  8"
"1053","120020",35,"   8"
"1054","120020",40,"   9"
"1055","120020",45,"  10"
"1056","120020",50,"   4"
"1057","120020",55,"   9"
"1058","120020",60,"  11"
"1059","120020",65,"  18"
"1060","120020",70,"  25"
"1061","120020",75,"  15"
"1062","120020",80,"  42"
"1063","120025",0,"   3"
"1064","120025",1,"  0"
"1065","120025",5," 0"
"1066","120025",10,"  0"
"1067","120025",15,"  1"
"1068","120025",20,"  1"
"1069","120025",25,"  0"
"1070","120025",30,"  0"
"1071","120025",35,"   0"
"1072","120025",40,"   1"
