Municipio;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor que 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
330475 São Francisco de Itabapoana;3;0;3;6;3;2;0;2;2;8;7;6;6;13;13;12;16;20;18;18;42;0;194
330490 São Gonçalo;41;16;23;80;12;7;23;81;104;105;115;126;140;210;260;368;415;411;426;369;633;6;3891
330500 São João da Barra;2;1;1;4;0;0;1;7;5;4;3;4;6;9;10;11;11;15;17;15;21;0;143
330510 São João de Meriti;29;9;21;59;3;4;8;43;63;49;50;46;66;97;158;183;203;194;210;176;270;18;1900
330513 São José de Ubá;1;0;0;1;0;0;0;0;3;1;0;1;0;0;0;1;2;4;2;5;7;0;27
330515 São José do Vale do Rio Preto;1;0;0;1;1;0;0;1;1;1;3;3;2;2;7;8;14;5;9;12;14;1;85
330520 São Pedro da Aldeia;4;1;2;7;1;0;0;10;8;9;16;17;9;20;24;28;24;31;46;24;53;2;329
330530 São Sebastião do Alto;1;0;0;1;0;0;0;0;1;1;1;1;1;3;3;2;0;2;3;5;14;0;38
330540 Sapucaia;0;0;1;1;1;0;1;2;1;2;3;1;2;3;4;7;9;13;13;6;19;0;88
330550 Saquarema;3;2;1;6;3;1;1;5;5;6;7;8;6;15;28;31;30;34;24;28;61;0;299
330555 Seropédica;4;3;2;9;5;0;2;4;4;7;12;8;13;19;20;20;33;26;24;23;35;1;265
330560 Silva Jardim;0;0;2;2;0;0;1;1;4;3;4;3;3;5;5;4;7;7;9;14;22;0;94
330570 Sumidouro;1;0;0;1;2;3;1;2;3;1;1;1;5;7;5;6;5;4;5;4;8;0;64
330575 Tanguá;1;0;2;3;1;1;1;5;1;4;4;5;4;5;8;11;14;8;7;12;17;1;112
330580 Teresópolis;6;4;6;16;7;17;11;22;17;20;24;34;39;50;46;71;60;72;74;75;166;8;829
330590 Trajano de Moraes;0;0;0;0;0;0;0;1;0;0;2;3;6;7;2;4;4;6;5;8;15;0;63
330600 Três Rios;11;0;6;17;3;0;1;3;10;12;12;14;8;24;32;36;35;46;34;40;60;3;390
330610 Valença;4;1;6;11;1;0;1;2;6;6;5;11;16;18;23;25;39;35;35;35;73;0;342
330615 Varre-Sai;0;0;2;2;0;0;0;1;0;1;0;0;1;2;2;5;1;1;3;1;7;0;27
330620 Vassouras;2;0;1;3;0;1;0;2;2;2;6;3;10;13;10;9;13;19;16;18;31;0;158
330630 Volta Redonda;8;5;6;19;5;1;1;19;28;27;36;20;36;55;81;104;104;109;100;130;220;0;1095
330000 Município ignorado - RJ;6;0;4;10;0;2;3;22;47;41;49;39;51;35;45;30;25;27;16;11;11;843;1307
